Name,Symbol,Price (in $),Change,Volume (in millions),Market Cap (in billions),P/E Ratio
Medtronic plc,MDT,94.03,-0.22,7.334,120.611,25.98
lululemon athletica inc.,LULU,159.87,-5.91,7.919,18.958,10.92
Johnson & Johnson,JNJ,178.06,-0.44,7.215,428.829,19.04
"AST SpaceMobile, Inc.",ASTS,38.72,0.35,7.442,13.882,
Energy Transfer LP,ET,17.45,-0.04,7.188,59.9,13.53
F.N.B. Corporation,FNB,16.41,-0.03,7.151,5.894,12.72
"Under Armour, Inc.",UA,4.76,-0.14,7.094,2.061,21.64
"CEMEX, S.A.B. de C.V.",CX,9.38,-0.11,7.09,13.635,15.38
Xcel Energy Inc.,XEL,73.35,0.5,7.08,43.381,20.32
Newmont Corporation,NEM,79.25,-0.4,7.051,87.052,14.36
Valley National Bancorp,VLY,10.79,0.01,8.139,6.039,13.83
V.F. Corporation,VFC,14.86,-0.62,6.969,5.805,55.04
"Salesforce, Inc.",CRM,242.76,-3.52,6.965,231.108,35.34
"Kinder Morgan, Inc.",KMI,27.58,0.01,7.048,61.285,22.61
The Kroger Co.,KR,68.29,1.06,6.929,45.15,17.33
Sunrun Inc.,RUN,16.06,0.05,7.202,3.706,
"Patterson-UTI Energy, Inc.",PTEN,5.54,-0.02,7.526,2.134,
"Delta Air Lines, Inc.",DAL,59.87,-0.57,6.768,39.092,8.7
Roivant Sciences Ltd.,ROIV,14.08,-0.33,7.441,9.615,
Western Digital Corporation,WDC,97.66,1.51,6.751,33.88,21.95
Pony AI Inc.,PONY,14.99,-0.25,6.736,5.326,
ADT Inc.,ADT,8.83,-0.02,6.672,7.241,12.44
Teck Resources Limited,TECK,41.89,0.23,6.614,20.493,130.91
"Affirm Holdings, Inc.",AFRM,83.08,1.67,6.975,27.055,553.87
"Peloton Interactive, Inc.",PTON,7.58,-0.07,7.262,3.091,
"Corteva, Inc.",CTVA,74.29,1.3,6.555,50.45,34.24
Barclays PLC,BCS,20.72,-0.07,6.55,72.581,9.46
Summit Therapeutics Inc.,SMMT,18.94,0.34,6.505,14.07,
"Coinbase Global, Inc.",COIN,323.04,-0.91,6.88,83.001,31.15
"Gilead Sciences, Inc.",GILD,114.55,-3.31,6.467,142.135,22.73
AppLovin Corporation,APP,582.0,10.69,6.622,196.861,79.95
"Tempus AI, Inc.",TEM,86.38,-2.4,6.613,15.007,40.18
HP Inc.,HPQ,27.97,-0.37,6.4,26.144,10.17
"PayPal Holdings, Inc.",PYPL,66.89,-0.38,7.492,63.905,14.32
Amphenol Corporation,APH,118.68,-0.79,6.357,144.899,47.47
"Synopsys, Inc.",SNPS,425.45,-12.65,6.638,79.027,57.49
Devon Energy Corporation,DVN,34.77,-0.52,6.303,22.072,7.83
"Upstart Holdings, Inc.",UPST,63.08,0.89,7.067,6.069,
NexGen Energy Ltd.,NXE,7.63,-0.24,6.267,4.358,
"QXO, Inc.",QXO,20.77,-0.49,6.252,13.99,2.2
Taiwan Semiconductor Manufacturing Company Limited,TSM,259.33,0.42,6.237,1345.0,28.16
Union Pacific Corporation,UNP,214.91,-1.13,6.207,127.45,18.66
XP Inc.,XP,18.87,-0.04,7.271,9.94,11.17
"Avantor, Inc.",AVTR,12.31,-0.7,6.186,8.392,12.19
"Meta Platforms, Inc.",META,755.59,4.69,7.784,1898.0,27.4
Petróleo Brasileiro S.A. - Petrobras,PBR-A,11.67,0.01,6.025,78.515,5.45
Trump Media & Technology Group Corp.,DJT,16.99,0.07,5.987,4.755,188.78
Newell Brands Inc.,NWL,5.92,-0.17,5.98,2.481,
Zeta Global Holdings Corp.,ZETA,20.35,-0.41,6.018,4.844,
The Procter & Gamble Company,PG,157.9,-0.73,5.956,369.563,24.25
"Enphase Energy, Inc.",ENPH,37.63,0.31,6.392,4.92,29.17
"Teradyne, Inc.",TER,112.24,-3.32,5.893,17.854,38.97
Las Vegas Sands Corp.,LVS,53.5,-1.21,5.881,36.725,27.02
Permian Resources Corporation,PR,13.7,-0.25,6.721,10.966,8.78
Baxter International Inc.,BAX,23.99,-0.5,5.749,12.322,
Abbott Laboratories,ABT,133.73,1.08,5.699,232.752,16.78
"PepsiCo, Inc.",PEP,143.53,-0.7,5.683,196.504,26.19
TechnipFMC plc,FTI,39.85,-0.45,5.682,16.379,18.98
KE Holdings Inc.,BEKE,20.07,-0.09,5.68,24.039,43.63
MP Materials Corp.,MP,63.51,0.48,5.833,11.247,
Sandisk Corporation,SNDK,86.13,1.83,5.637,12.558,
"The Williams Companies, Inc.",WMB,58.81,-0.02,5.63,71.818,29.7
"Annaly Capital Management, Inc.",NLY,22.0,-0.15,5.629,14.126,21.15
Halliburton Company,HAL,22.23,-0.08,5.567,18.953,10.44
EchoStar Corporation,SATS,74.89,-2.15,5.553,21.547,
Chevron Corporation,CVX,157.11,-1.14,5.544,316.548,20.19
Pan American Silver Corp.,PAAS,36.68,-0.14,5.555,15.494,25.3
UWM Holdings Corporation,UWMC,6.85,-0.06,5.626,11.042,171.25
"Toast, Inc.",TOST,39.95,-0.84,5.528,23.291,102.44
XPeng Inc.,XPEV,20.87,0.29,5.505,19.884,
"Flowers Foods, Inc.",FLO,13.75,-0.52,5.497,2.904,13.22
CVS Health Corporation,CVS,74.98,0.31,5.489,95.099,20.89
QUALCOMM Incorporated,QCOM,161.83,0.32,5.428,174.615,15.62
Target Corporation,TGT,89.96,-1.56,6.087,40.878,10.48
"Pinterest, Inc.",PINS,35.03,0.07,5.38,23.818,12.69
Shell plc,SHEL,71.34,-0.68,5.36,207.552,15.92
"Conagra Brands, Inc.",CAG,19.17,-0.27,5.35,9.177,7.99
Harmony Gold Mining Company Limited,HMY,15.01,-0.31,5.339,9.436,11.46
Occidental Petroleum Corporation,OXY,45.67,-0.35,5.318,44.959,26.86
Sibanye Stillwater Limited,SBSW,8.72,-0.02,5.315,6.171,
Hudbay Minerals Inc.,HBM,13.53,-0.04,5.299,5.362,18.53
Samsara Inc.,IOT,38.26,-0.43,5.248,21.947,
Roblox Corporation,RBLX,133.31,0.35,5.235,92.417,
Carrier Global Corporation,CARR,61.67,-0.63,5.225,52.483,35.44
MGM Resorts International,MGM,34.55,-0.79,5.225,9.404,18.88
BlackBerry Limited,BB,3.9,0.03,5.219,2.32,195.0
"The TJX Companies, Inc.",TJX,139.48,-1.35,5.173,155.233,31.77
"United Airlines Holdings, Inc.",UAL,106.58,-2.78,6.07,34.503,10.69
"SentinelOne, Inc.",S,18.29,-0.17,5.164,6.13,
VICI Properties Inc.,VICI,33.16,0.01,5.161,35.361,12.7
ConocoPhillips,COP,92.43,-1.7,5.159,115.44,12.39
"Venture Global, Inc.",VG,13.6,-0.15,5.155,33.02,23.05
Texas Instruments Incorporated,TXN,182.6,-1.75,5.848,166.008,33.32
Edwards Lifesciences Corporation,EW,77.57,-0.44,5.085,45.541,32.46
GitLab Inc.,GTLB,50.3,0.56,5.56,8.389,
Bilibili Inc.,BILI,25.45,1.0,5.197,10.538,363.57
"The Home Depot, Inc.",HD,422.69,-0.73,5.003,420.74,28.73
