name,location,price (in lacs),area (in sqft),bhk,starred
seagull,"puzhuthivakkam, madipakkam",127.0,1418,3,0.0
"srk flat,new",thirumullaivoyal,65.0,986,3,0.0
"perumbakkam, chennai, chennai south",perumbakkam,97.5,900,3,0.0
sidharth crown,"madhavaram, 
·
rera",112.00000000000001,1454,3,0.0
new flat,ayanambakkam,82.71,1426,3,0.0
brigade xanadu,"mogappair, 
·
rera",60.0,682,1,4.0
purva somerset house,"dy,  south
·
rera",350.0,1890,3,3.4
purva somerset house,"dy,  south
·
rera",440.00000000000006,2475,4,3.4
purva somerset house,"dy,  south
·
rera",303.0,2475,4,3.4
hiliving royal evita,madhavaram,100.0,1392,3,0.0
hiliving royal evita,madhavaram,75.0,962,2,0.0
anry homes,"radha avenue, valasaravakkam",85.52,983,2,0.0
sai keerthi,iyyappanthangal,67.0,953,2,0.0
sai keerthi,iyyappanthangal,67.15,958,2,0.0
sai keerthi,iyyappanthangal,77.97,1186,3,0.0
pacifica pride towers,"padur, 
·
rera",85.0,1358,2,3.7
on request,t nagar,476.0,2133,3,0.0
alankar horizon,selaiyur,73.46,1150,2,0.0
"keerthi mukesh flat, new",poonamallee,56.0,953,2,0.0
scc homes,velachery,105.0,1133,3,0.0
scc homes,"vadakkupattu, medavakkam",65.1,986,2,0.0
scc homes,"vadakkupattu, medavakkam",65.68,995,2,0.0
scc homes,nanmangalam,82.93,1245,3,0.0
homes royales,"majestic colony, valasaravakkam",79.9,971,2,0.0
sai keerthi,kattupakkam,79.0,1139,3,0.0
on request,madhavaram,77.18,1043,2,0.0
adhithya residency,kovilambakkam,89.13,1221,3,0.0
vishnu shivanya villas,"mappedu, selaiyur",270.0,3376,4,0.0
vishnu aravind villas,"mappedu, selaiyur",140.0,2166,4,0.0
"guduvancheri, chennai, chennai south",guduvancheri,89.0,900,4,0.0
vgk unity kingdom,"medavakkam, 
·
rera",94.72,1268,3,0.0
new flat,ambattur,83.5,1440,3,0.0
new flat,ambattur,58.91,1071,2,0.0
purva somerset house,"dy,  south
·
rera",350.0,1968,3,3.4
